ExperimentID,Investigators,Treatment,Bin_Original,Bin_Final,PlantRep,SoilDepth,SoilHtBelow,HtFirstInflor,MassFirstInflor,CountRayFlowers,CountDiskFlowers,MassVeg,FinalMassTotal,MassRemoved,,,,
Competition,BeardonMendozaSigman,1,C,,1,1,,abcd,,,,,,,,,,
Competition,BeardonMendozaSigman,1,C,,2,1.4,,abcd,,,,,,,,,,
Competition,BeardonMendozaSigman,1,E,,3,1.3,,abcd,,,,,,,,,,
Competition,BeardonMendozaSigman,1,W,,4,1.3,,abcd,,,,,,,,,,
Competition,BeardonMendozaSigman,1,W,,5,1.3,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,E,,6,2.1,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,E,,7,2,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,C,,8,1.3,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,E,,9,1.4,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,C,,10,1,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,W,,11,1.3,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,E,,12,1.7,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,W,,13,1,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,E,,14,0.5,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,W,,15,2.2,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,W,,16,1.3,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,C,,17,1.3,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,C,,18,0.9,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,C,,19,1.5,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,E,,20,1.6,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,E,,21,0.9,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,W,,22,1.3,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,W,,23,1,,,,,,,,,,,,
Competition,BeardonMendozaSigman,1,C,,24,0.9,,,,,,,,,,,,
Competition,BeardonMendozaSigman,2,W,,25,1.4,,,,,,,,,,,,
Competition,BeardonMendozaSigman,2,W,,26,1.5,,,,,,,,,,,,
Competition,BeardonMendozaSigman,2,E,,27,1.5,,,,,,,,,,,,
Competition,BeardonMendozaSigman,2,E,,28,1,,,,,,,,,,,,
Competition,BeardonMendozaSigman,2,W,,29,1.5,,,,,,,,,,,,
Competition,BeardonMendozaSigman,2,C,,30,1.1,,,,,,,,,,,,
Competition,BeardonMendozaSigman,2,E,,31,1.1,,,,,,,,,,,,
Competition,BeardonMendozaSigman,2,W,,32,1.8,,,,,,,,,,,,
Competition,BeardonMendozaSigman,2,C,,33,1.2,,,,,,,,,,,,
Competition,BeardonMendozaSigman,2,C,,34,1.7,,,,,,,,,,,,
